iso,name,planted_forest__ha,primary_forest__ha,regenerated_forest__ha,fao_treecover__ha,area_ha
ABW,Aruba,,,,420,18
AFG,Afghanistan,,,,1350000,"65,223.00"
AGO,Angola,125000,0,57731000,57856000,"124,670.00"
AIA,Anguilla,,,,5500,9
ALB,Albania,90000,84800,596700,771500,"2,875.00"
AND,Andorra,,0,,16000,47
ANT,Netherlands Antilles,,,,1180,80
ARE,United Arab Emirates,322600,0,0,322600,"8,360.00"
ARG,Argentina,1202000,1738000,24172000,27112000,"278,040.00"
ARM,Armenia,22000,17000,293000,332000,"2,980.00"
ASM,American Samoa,,,,17543,20
ATG,Antigua and Barbuda,,,,9800,44
AUS,Australia,2017000,5039000,117695000,124751000,"774,122.00"
AUT,Austria,1692000,114000,2063000,3869000,"8,387.90"
AZE,Azerbaijan,,,,1139400,"8,660.00"
BDI,Burundi,120000,40000,116000,276000,"2,783.00"
BEL,Belgium,394100,0,289200,683400,"3,052.80"
BEN,Benin,23000,0,4288000,4311000,"11,262.00"
BFA,Burkina Faso,238870,0,5111000,5350000,"27,422.00"
BGD,Bangladesh,274000,411000,744000,1429000,"14,400.00"
BGR,Bulgaria,,,,3823000,"11,100.00"
BHR,Bahrain,604,0,0,604,76
BHS,Bahamas,0,0,515000,515000,"1,388.00"
BIH,Bosnia and Herzegovina,999000,2000,1184000,2185000,"5,121.00"
BLM,Saint Barthelemy,0,0,0,0,2.1
BLR,Belarus,1910200,400000,6323300,8633500,"20,760.00"
BLZ,Belize,2400,599000,764900,1366300,"2,297.00"
BMU,Bermuda,,,,1000,5
BOL,Bolivia,26000,36164000,18574000,54764000,"109,858.00"
BRA,Brazil,7736000,202691000,283111000,493538000,"851,577.00"
BRB,Barbados,8.200000000000001,3,6288.8,6300,43
BRN,Brunei Darussalam,2680,263000,114000,380000,577
BTN,Bhutan,22170,413000,2319765,2754935,"3,839.40"
BWA,Botswana,0,0,10840000,10840000,"58,173.00"
CAF,Central African Republic,2000,1988000,20180000,22170000,"62,298.00"
CAN,Canada,15784000,205924000,125361000,347069000,"998,467.00"
CHE,Switzerland,172000,40000,1042000,1254000,"4,128.00"
CHL,Chile,3044000,5355000,9336000,17735000,"75,609.60"
CHN,China,78982200,11632400,117706700,208321300,"960,000.00"
CIV,Côte d'Ivoire,427000,625000,9349000,10401000,"32,246.00"
CMR,Cameroon,25600,,,18816000,"47,544.00"
COD,Democratic Republic of the Congo,60360,102686000,49832000,152578000,"234,486.00"
COG,Congo,71000,7407000,14856000,22334000,"34,200.00"
COK,Cook Islands,1100,0,14400,15100,23.6
COL,Colombia,70900,,,58501740,"114,175.00"
COM,Comoros,3000,8000,26000,37000,186
CPV,Cape Verde,84280,0,5623,89903,403
CRI,Costa Rica,17600,1814400,924000,2756000,"5,110.00"
CUB,Cuba,556000,0,2644000,3200000,"10,989.00"
CYM,Cayman Islands,,,,12700,26.4
CYP,Cyprus,30745,13241,128714,172700,925.2
CZE,Czech Republic,2643300,10000,,2667000,"7,887.00"
DEU,Germany,5295000,0,6124000,11419000,"35,712.00"
DJI,Djibouti,0,0,5600,5600,"2,319.60"
DMA,Dominica,100,26300,16930,43330,75
DNK,Denmark,464000,34000,114000,612200,"4,309.00"
DOM,Dominican Republic,119000,,1864200,1983000,"4,867.00"
DZA,Algeria,556000,0,1400000,1956000,"238,174.00"
ECU,Ecuador,55238,12467299,25339,12547876,"25,637.00"
EGY,Egypt,73000,0,0,73000,"100,145.00"
ERI,Eritrea,39400,0,1470600,1510000,"11,760.00"
ESH,Western Sahara,0,0,707000,707000,"26,600.00"
ESP,Spain,2908500,0,15509370,18417870,"50,537.00"
EST,Estonia,174000,58000,2000000,2232000,"4,523.00"
ETH,Ethiopia,972000,0,11527000,12499000,"110,430.00"
FIN,Finland,6775401,230207,15212251,22218000,"33,842.00"
FJI,Fiji,154175,411412,451613,1017195,"1,827.00"
FLK,Falkland Islands (Malvinas),0,0,0,0,"1,217.00"
FRA,France,1967000,,15022000,16989000,"54,919.00"
FRO,Faroe Islands,83,0,0,83,139.6
FSM,Micronesia (Federated States of),14205,48367,1693,64265,70
GHA,Ghana,325000,395000,8617000,9337000,"23,854.00"
GAB,Gabon,30000,12804000,10166000,23000000,"26,767.00"
GBR,U.K. of Great Britain and Northern Ireland,,0,,3144000,"24,361.00"
GEO,Georgia,72000,500000,2250400,2822400,"6,970.00"
GGY,Guernsey,,,,200,7.8
GNB,Guinea-Bissau,880,0,1971120,1972000,"3,613.00"
GIB,Gibraltar,0,0,0,0,1
GIN,Guinea,104000,63000,6197000,6364000,"24,586.00"
GLP,Guadeloupe,4200,35990,31306,71496,170
GMB,Gambia,1400,800,485800,488000,"1,130.00"
GNQ,Equatorial Guinea,125,0,1568000,1568000,"2,805.00"
GRC,Greece,140000,0,3914000,4054000,"13,196.00"
GRD,Grenada,210,2320,14461,16990,34
GRL,Greenland,220,0,0,220,"41,045.00"
KNA,Saint Kitts and Nevis,,,,11000,26
GTM,Guatemala,185000,1334000,2021000,3540000,"10,889.00"
GUF,French Guiana,700,7812800,316500,8130000,"8,396.00"
GUM,Guam,,,,25000,54
GUY,Guyana,0,6477000,10049000,16526000,"21,497.00"
HND,Honduras,0,457000,4135000,4592000,"11,249.00"
HRV,Croatia,75000,7000,1840000,1922000,"5,659.00"
HTI,Haiti,32000,0,65000,97000,"2,775.00"
HUN,Hungary,1652000,0,417000,2069000,"9,303.00"
IDN,Indonesia,4946000,46024000,40040000,91010000,"181,157.00"
IMN,Isle of Man,,,,3460,57.2
IND,India,12031000,15701000,42950000,70682000,"328,726.00"
IRL,Ireland,682608,0,71407,754016,"7,027.00"
IRN,Iran  (Islamic Republic of),941000,200000,9550980,10691980,"187,395.90"
IRQ,Iraq,15000,0,810000,825000,"43,524.00"
ISL,Iceland,38200,0,11000,49200,"10,300.00"
ISR,Israel,89000,0,76000,165000,"2,207.00"
ITA,Italy,639000,93000,8565000,9297000,"30,134.00"
JAM,Jamaica,6900,87500,240800,335200,"1,099.00"
JEY,Jersey,,0,,600,11.6
JOR,Jordan,46900,0,50600,97500,"8,932.00"
JPN,Japan,10270000,4905000,9783000,24958000,"37,795.00"
KAZ,Kazakhstan,901000,0,2408000,3309000,"272,490.00"
KEN,Kenya,220000,0,4193000,4413000,"58,037.00"
KGZ,Kyrgyzstan,47000,630000,,637000,"19,995.00"
KHM,Cambodia,69000,322000,9066000,9457000,"18,104.00"
KIR,Kiribati,0,0,12150,12150,81
PCN,Pitcairn,,,,3500,4.7
KOR,Republic of Korea,1866000,3460000,858000,6184000,"9,990.00"
KWT,Kuwait,6250,0,0,6250,"1,782.00"
LAO,Lao People's Democratic Republic,113110,1193730,17454570,18761410,"23,680.00"
LBN,Lebanon,10900,0,126400,137300,"1,045.00"
LBR,Liberia,8000,175000,3996000,4179000,"11,137.00"
LBY,Libya,217000,0,0,217000,"175,954.00"
LCA,Saint Lucia,3150,17150,,20300,62
LIE,Liechtenstein,300,1500,5100,6900,16
LKA,Sri Lanka,215000,167000,1688000,2070000,"6,561.00"
LSO,Lesotho,17100,0,31900,49000,"3,035.00"
LTU,Lithuania,570000,26000,1584000,2180000,"6,530.00"
LUX,Luxembourg,28300,0,58700,86700,259
LVA,Latvia,612000,16000,2728000,3356000,"6,448.00"
MAF,Saint Martin,,,309.40000000000003,1144,5.5
MAR,Morocco,706000,0,4926000,5632000,"44,655.00"
MCO,Monaco,0,0,0,0,0.2
MDA,"Moldova, Republic of",2000,0,407000,409000,"3,385.00"
MDG,Madagascar,312000,2993000,9168000,12473000,"58,704.00"
MDV,Maldives,,,,1000,30
MEX,Mexico,87000,33056000,32897000,66040000,"196,438.00"
MHL,Marshall Islands,4450,8186,0,12636,18
MKD,The former Yugoslav Republic of Macedonia,105000,0,893000,998000,"2,571.00"
MLI,Mali,135000,0,4580000,4715000,"124,019.00"
MLT,Malta,347,0,0,347,32
MMR,Myanmar,944000,3192000,24905000,29041000,"67,658.00"
MNE,Montenegro,8000,109000,710000,827000,"1,381.00"
MNG,Mongolia,1200,12551600,0,12552800,"156,412.00"
MNP,Northern Mariana Islands,21756,7740,0,29496,46
MOZ,Mozambique,75000,0,37865000,37940000,"79,938.00"
MRT,Mauritania,27250,0,197250,224500,"103,070.00"
MSR,Montserrat,0,0,2500,2500,10
MTQ,Martinique,2400,0,46100,48500,106.4
MUS,Mauritius,18300,0,20300,38600,204
MWI,Malawi,419000,845000,1883000,3147000,"11,848.00"
MYS,Malaysia,1966000,5041000,15188000,22195000,"33,080.00"
MYT,Mayotte,440,1450,3930,5820,37.5
NAM,Namibia,250,0,6919000,6919000,"82,429.00"
NCL,New Caledonia,10000,431000,398000,839000,"1,858.00"
NER,Niger,150000,220000,772000,1142000,"126,700.00"
NFK,Norfolk Island,,,,460,4
NGA,Nigeria,420000,20000,6553000,6993000,"92,377.00"
NIC,Nicaragua,48000,1234000,1832000,3114000,"13,037.00"
NIU,Niue,300,5600,12200,18100,26
NLD,Netherlands,376000,0,0,376000,"4,162.00"
NOR,Norway,1529000,160000,10423000,12112000,"32,378.00"
NPL,Nepal,43000,526000,3067000,3636000,"14,718.00"
NRU,Nauru,0,0,0,0,2
NZL,New Zealand,2087000,2160000,5905000,10152000,"26,771.00"
OMN,Oman,2000,0,0,2000,"30,950.00"
PAK,Pakistan,362000,0,1110000,1472000,"79,610.00"
PAN,Panama,80400,0,4537000,4617000,"7,542.00"
PER,Peru,1157000,65790000,7026000,73973000,"128,522.00"
PHL,Philippines,1245000,861000,5934000,8040000,"30,000.00"
PLW,Palau,,,,40303,46
PNG,Papua New Guinea,0,17599000,15960000,33559000,"46,891.00"
POL,Poland,8957000,59000,419000,9435000,"31,268.00"
PRI,Puerto Rico,0,0,495950,495950,864.4
PRK,Dem People's Rep of Korea,704000,701000,3626000,5031000,"12,054.00"
PRT,Portugal,891000,24100,2267000,3182000,"9,209.00"
PRY,Paraguay,98000,1884000,13341000,15323000,"40,675.00"
PSE,West Bank,,,,9170,602
PYF,French Polynesia,10000,40000,105000,155000,400
QAT,Qatar,0,0,0,0,"1,100.00"
REU,Réunion,5000,55000,28000,88000,251
ROU,Romania,569000,283000,6009000,6861000,"23,839.00"
RUS,Russian Federation,19841000,272717600,522371900,814930500,"1,709,824.00"
RWA,Rwanda,418000,7000,55000,480000,"2,634.00"
SAU,Saudi Arabia,0,360000,617000,977000,"214,969.00"
SDN,Sudan,6121032,1344696,11744210,19209938,"187,955.30"
SEN,Senegal,561000,1508000,6204000,8273000,"19,672.00"
SGP,Singapore,0,210,16140,16350.000000000002,71
SHN,Saint Helena,,,,2000,39
SJM,Svalbard and Jan Mayen,0,0,0,0,"6,140.00"
SLB,Solomon Islands,26900,1105400,1052700,2185000,"2,890.00"
SLE,Sierra Leone,16400,85200,2526100,3044000,"7,174.00"
SLV,El Salvador,16200,4800,244000,265000,"2,104.00"
SMR,San Marino,0,0,0,0,6
SOM,Somalia,3000,0,6360000,6363000,"63,766.00"
SPM,Saint Pierre and Miquelon,0,0,2800,2800,24
SRB,Serbia,215000,1000,2504000,2720000,"8,836.00"
SSD,South Sudan,,,,7157000,"63,617.00"
STP,Sao Tome and Principe,0,27000,26600,53600,96
SUR,Suriname,13000,14019000,1300000,15332000,"16,382.00"
SVK,Slovakia,960000,24000,956000,1940000,"4,904.00"
SVN,Slovenia,34000,49000,1165000,1248000,"2,027.00"
SWE,Sweden,13737000,2417000,11919000,28073000,"45,030.00"
SWZ,Swaziland,135000,0,450000,586000,"1,736.00"
SYC,Seychelles,4800,2000,33800,40666,46
SYR,Syrian Arab Republic,,,,491000,"18,503.00"
TCA,Turks and Caicos Islands,,,,34400,43
TCD,Chad,18300,,4857000,4875000,"128,400.00"
TGO,Togo,46000,0,142000,188000,"5,679.00"
THA,Thailand,3986000,6726000,5687000,16399000,"51,312.00"
TJK,Tajikistan,103000,297000,12000,412000,"14,153.00"
TKL,Tokelau,0,0,0,0,1
TKM,Turkmenistan,0,104000,4023000,4127000,"48,810.00"
TLS,Timor-Leste,43000,0,643000,686000,"1,487.00"
TON,Tonga,1000,4000,4000,9000,75
TTO,Trinidad and Tobago,11244,62400,160831,234476,513
TUN,Tunisia,725000,0,316000,1041000,"16,361.00"
TUR,Turkey,3386000,913000,7416000,11715000,"78,356.00"
TUV,Tuvalu,,,,1000,3
TZA,United Republic of Tanzania,290000,0,45770000,46060000,"94,730.00"
UGA,Uganda,60000,0,2017000,2077000,"24,155.00"
UKR,Ukraine,4860000,59000,4738000,9657000,"60,355.00"
URY,Uruguay,1062000,313000,470000,1845000,"17,622.00"
USA,United States of America,26364000,75300000,208431000,310095000,"963,203.00"
UZB,Uzbekistan,801500,73000,2345400,3219900,"44,896.90"
VAT,Vatican City,0,0,0,0,0
VCT,Saint Vincent and the Grenadines,0,0,27000,27000,39
VEN,Venezuela,557000,45746000,380000,46683000,"91,205.00"
VGB,British Virgin Islands,,,,3620,15
VIR,United States Virgin Islands,,0,17600,17600,35
VNM,Viet Nam,3663000,83000,11027000,14773000,"33,095.70"
VUT,Vanuatu,,,,440000,"1,219.00"
WLF,Wallis and Futuna,530,0,5300,5830,14
WSM,Samoa,32100,20,138600,171000,284
YEM,Yemen,0,0,549000,549000,"52,797.00"
ZAF,South Africa,1763000,947000,6531000,9241000,"121,909.00"
ZMB,Zambia,64000,0,48571000,48635000,"75,261.00"
ZWE,Zimbabwe,87000,801000,13174000,14062000,"39,076.00"